url,verdict,claim_text
https://www.factcrescendo.com/the-aerial-footage-of-the-burning-maersk-ship-is-old-and-not-related-to-israel/amp/,MISSING CONTEXT,"यमनी हौथिस ने कंटेनर जहाज मेर्स्क जिब्राल्टर पर हमला किया, जो कथित तौर पर इज़राइल के रास्ते में था।"
https://www.factcrescendo.com/video-of-mohan-yadav-scolding-corrupt-employees-is-old/,MISSING CONTEXT,मध्य प्रदेश के नए मुख्य मंत्री भ्रष्टाचार विरोधी।
https://www.factcrescendo.com/kashmiri-dry-fruit-vendor-harassment-video-in-lucknow-shared-with-misleading-claim/,MISLEADING,लखनऊ नगर पालिका टीम द्वारा गरीब कश्मीरी ड्राई फ्रूट विक्रेताओं को परेशान किया गया। वे इन गरीब लोगों को क्यों निशाना बना रहे हैं
https://www.factcrescendo.com/three-year-old-video-goes-viral-claiming-it-to-be-about-the-current-israeli-palestinian-war/,MISLEADING,इजराइल ने इस युवा फिलिस्तीनी व्यक्ति को मार डाला और फिर दक्षिण गाजा में उसके शरीर में बुलडोजर के दांत घुसा दिए
https://www.factcrescendo.com/old-news-about-20-mlas-leaving-bjp-viral-as-recent/amp/,MISSING CONTEXT,BJP से इस्तेफ देने वाले विधायक
https://www.factcrescendo.com/video-of-israeli-soldiers-destroying-palestinian-road-in-2021/,MISLEADING,इज़राइल फ़िलिस्तीनी सड़कों को नष्ट कर रहा है ताकि इसे उसके लोगों के लिए रहने लायक न छोड़ा जाए।  
https://www.factcrescendo.com/old-video-of-baba-balaknath-threatening-police-viral-as-recent/amp/,MISSING CONTEXT,चुनाव में जीतने के बाद बाबा बालकनाथ ने पुलिस को धमाना शुरू कर दिया है। 
https://www.factcrescendo.com/rahul-gandhi-money-from-hand-pump-statement-shared-without-context/amp/,MISSING CONTEXT,"आलू से सोना- के बाद पेश है….पंप से पैसा, अब तो पंप से पैसा निकलने लगा है- राहुल गाँधी।"
https://www.factcrescendo.com/old-video-of-shivraj-singh-chauhan-meeting-dhirendra-shastri-viral-on-the-internet/amp/,MISSING CONTEXT,मध्य प्रदेश में भाजपा की जीत के बाद शिवराज सिंह चौहान बागेश्वर धाम धीरेंद्र शास्त्री से मिलने गये थे। 
https://www.factcrescendo.com/this-video-of-religious-clash-is-from-maharashtra-not-from-congress-ruled-state-karnataka/amp/,MISLEADING,कर्नाटक में स्लिम लोग एक मंदिर के सामने इकट्ठा होने के लिए हिंदुओं को अपना प्राकृतिक उपचार दे रहे हैं। 
https://www.factcrescendo.com/did-the-police-forcibly-hand-over-the-pistol-to-the-biker-to-implicate-him-in-a-false-case/amp/,MISLEADING,कानपुर के टाटमील चौराहा पर पुलिस एक बाइक सवार युवक को झूठे मामले में फंसाने के लिए उसे जबरन कारतूस के साथ पिस्तौल थमा रही है।
https://www.factcrescendo.com/the-man-caught-in-an-objectionable-position-in-a-hotel-with-his-girlfriend-is-not-a-bjp-mla/amp/,MISLEADING,"बीजेपी विधायक है जिसका नाम महेंद्र है , और उसे होटल में उसकी बीवी ने हर्षिता गुप्ता नाम की एक मॉडल के साथ आपत्तिजनक स्थिति में पकड़ा।"
https://www.factcrescendo.com/old-video-of-kamal-nath-cutting-temple-shaped-cake-viral-as-recent/,MISSING CONTEXT,कमलनाथ ने काटा हनुमान जी व मंदिर आकृति वाला केक अगर मुख्यमंत्री बन गया तो हिन्दुओं को काटेगा।“
https://www.factcrescendo.com/alse-news-about-vasundhara-raje-not-holding-poster-in-bjp-sankalp-patra-release/amp/,MISSING CONTEXT,वसुंधरा राजे के हाथ से पोस्टर लिया गया इसलिये उन्होंने गुस्से में आकर दूसरा पोस्टर नहीं पकड़ा। 
https://www.factcrescendo.com/claim-of-swing-breaking-in-barabankis-deva-mela-many-people-injured-misleading/,MISLEADING,"बाराबंकी देवा मेला में झूला टूटने से हुआ हादसा। हादसे में कई लोग घायल, अस्पताल में कराया गया भर्ती"
https://www.factcrescendo.com/did-bjp-candidate-kirori-lal-meena-call-his-own-party-hungry-wolves/,MISLEADING,किरोडी बाबा ने भाजपा के नेताओं को बताया भूखा भेडिया और भ्रष्टाचारी।
https://www.factcrescendo.com/clipped-video-claiming-rahul-gandhi-is-saying-cm-bhupesh-baghel-is-working-for-adani-viral/amp/,MISSING CONTEXT,राहुल गांधी ऐसा कह रहे है कि छत्तीसगढ़ के मुख्यमंत्री भूपेश बघेल अडानी के लिये काम करते है
https://www.factcrescendo.com/old-video-of-police-teaching-lesson-to-boys-playing-loud-pungi-in-mp-falsely-shared/amp/,MISLEADING,लखनऊ में दशहरे के मेले में भोंपू बजाकर मस्ती कर रहे है युवकों को पुलिस सबक सिखाया।
https://www.factcrescendo.com/old-video-of-burning-of-church-in-france-shared-as-hamas-supporter-burning-church/,MISSING CONTEXT,“पेरिस में सेंट–गेब्रियल चर्च में आज रात हमास समर्थक आतंकवादियों द्वारा आग लग गई। यह फ्रांस में हर साल हमास द्वारा जलाए जाने वाले सैकड़ों चर्चों में से एक है
https://www.factcrescendo.com/is-a-muslim-man-posing-as-a-saint-in-haridwar-cursing-hindus-no-this-person-is-a-hindu/amp/,MISSING CONTEXT,हरिद्वार में ऐसा कोई हिंदू नहीं है जो मुस्लिमों से मुकाबला कर सके
https://www.factcrescendo.com/digitally-edited-video-showing-pm-modi-saying-people-vote-for-congress-for-doing-good-for-their-family-viral-2/,MISSING CONTEXT,प्रधानमंत्री मोदी कांग्रेस के लिये वोट मांग रहे है।
https://www.factcrescendo.com/video-of-children-trapped-in-syrian-building-goes-viral-in-2019-linking-it-to-israel-hamas-dispute/,MISSING CONTEXT, कहाँ है दुनिया के वो हुक्मरान जो इंसाफ़ की बड़ी बड़ी बातें करते हैं लेकिन जब ज़ुल्म होता है किसी मज़लूम पर तो चुप रहते है । अल्लाह फ़िलिस्तीन की गैब से मदद फ़रमा।
https://www.factcrescendo.com/scripted-video-showing-a-man-assaulting-a-woman-in-the-name-of-medical-treatment-viral/amp/,MISSING CONTEXT,धर्म के ठेकेदारों इस तरह की घटनाओं को क्यूं नहीं रोकते हैं साले धर्म के नाम पर महिलाओं का रेप करते हैं
https://www.factcrescendo.com/clipped-video-of-amit-shah-saying-that-degrees-of-pm-modi-are-fake-viral/amp/,MISSING CONTEXT,मोदी जी की डिग्रियाँ फर्ज़ी है। अमित शाह ने कबूला सच
https://www.factcrescendo.com/old-video-of-lebanese-protesters-shared-as-israel-and-palestine-war/,MISLEADING,इज़राइल #लेबनान सीमा अब आतंकी और उनके समर्थक बाड़ फांदकर इजरायली क्षेत्र में घुसने की कोशिश कर रहे हैं।
https://www.factcrescendo.com/old-video-of-israel-airstrike-goes-viral-as-recent-ongoing-conflict/amp/,MISSING CONTEXT,"हमास आतंकी हमले के बाद,इजराइल का रौद्र रूप,इज़राइल ने ऑपरेशन आयरन स्वोर्ड्स शुरू किया इज़राइल ने तीसरे गाजा टॉवर को नष्ट कर दिया, फिलिस्तीनी आतंकवादियों को नष्ट कर रहा है गाजा हमास,इंडिया स्टैंड्स विथ इजराइल"
https://www.factcrescendo.com/scripted-video-of-a-guard-being-dragged-by-car-driver-for-removing-the-key-viral/amp/,MISSING CONTEXT,"कार की चाबी निकालना भारी पड़ा एक सिविक वॉलिंटियर को। इंटरनेट की दुनिया में वायरल हो रही ये विडियो। अंत तक देखें, क्या हुआ, और ड्राइवर ने क्या सजा दिया"
https://www.factcrescendo.com/was-the-pakistani-cricket-team-welcomed-at-hyderabad-airport-with-slogans-of-pakistan-murdabad/,MISLEADING,अब तो जम्मू कश्मीर में भी मोदी मोदी गाने पर काश्मीरी झूम रहें हैं। ऐसे ही नहीं विकास बोलता है भाई kashmir Muslim.
https://www.factcrescendo.com/did-the-muslim-girl-go-against-her-father-and-marry-a-hindu-boy-in-the-police-station-video-viral-with-false-communal-claim/amp/,MISLEADING,एक मुस्लिम लड़की ने अपने पिता की इच्छा के विरुद्ध हिंदू लड़के से शादी कर ली। जो भगवा लव ट्रैप की शिकार हुई है।
https://www.factcrescendo.com/distressed-due-to-recession-diamond-traders-claimed-to-throw-diamonds-on-the-road-fake-diamonds-were-lying-on-the-road/,MISLEADING,"हीरा बाजार में भारी मंदी के कारण परेशान हीरा व्यापारियों ने हीरे सड़क पर फेंक दिए, जिन्हें गुजरात के सूरत शहर में लोग सड़क पर इकट्ठा कर रहे थे। "
https://www.factcrescendo.com/the-claim-of-demolishing-the-temple-is-wrong-this-case-of-dragging-the-idol-is-a-part-of-a-tradition/,MISLEADING,डियो राजस्थान की बताई जा रही है जहां भैरों बाबा के मंदिर को तोड़कर मूर्ति को ट्रैक्टर से घसीटते हुए ले जाया जा रहा है…
https://www.factcrescendo.com/there-is-no-communal-angle-in-the-case-of-a-person-urinating-on-a-young-man-in-agra/,MISLEADING,मध्य प्रदेश में एक मुस्लिम युवक के साथ अपमानजनक हरकत करने के हालिया मामले के बाद अब उत्तर प्रदेश के आगरा में भी ऐसी ही घटना घटी है।
https://www.factcrescendo.com/this-video-of-snatching-a-phone-from-a-moving-train-has-been-digitally-edited/amp/,MISLEADING,एक चोर ने चलती ट्रेन से फोन छीन लिया
https://www.factcrescendo.com/video-of-a-man-named-giriraj-baghel-pehalwan-said-to-be-as-bhupesh-baghels-son/,MISSING CONTEXT,बघेल जी का छोरा है
https://www.factcrescendo.com/fake-video-of-olympian-wrestler-anshu-malik-goes-viral/amp/,MISLEADING,21 साल की उम्र में ओलंपियन बनने का गौरव हासिल करने वाले भारतीय पहलवान अंशू मलिक का एक अश्लील वीडियो सोशल मीडिया पर तेजी से वायरल किया जा रहा है
https://www.factcrescendo.com/the-claim-of-muslims-entering-america-in-large-numbers-in-the-viral-video-is-misleading/,MISLEADING,डेरियन गैप को पार करते हुए मुस्लिम शरणार्थी आक्रमणकारियों का एक काफिला अमेरिका की ओर जा रहा है।  
https://www.factcrescendo.com/the-video-of-puri-rath-yatra-recently-went-viral-as-chhatra-adhikar-yuva-hunkar-maharally-held-in-rajasthan/amp/,MISLEADING,छात्र अधिकार युवा हुंकार रैली जयपुर
https://www.factcrescendo.com/this-viral-video-of-welcoming-us-president-joe-biden-is-edited/,MISLEADING,बाइडेन का स्वागत बॉलीवुड गीत के साथ
https://www.factcrescendo.com/video-of-son-and-daughter-in-law-taking-their-elderly-mother-to-old-age-home-is-scripted/,MISLEADING,माँ……बहु : इन्होंने अपनी लाइफ जी ली अब हमको अपनी लाइफ जीनी है ।सास : हमको अपने घर रहना है हमे जबरदस्ती आश्रम भेज रहे हैं 
https://www.factcrescendo.com/video-of-domestic-violence-in-a-family-in-pakistan-goes-viral-with-false-claim/amp/,MISLEADING,"एक पाकिस्तानी पिता अपनी ही बेटी के साथ बलात्कार करने की कोशिश करता है, जब लड़की उसे बचाने के लिए अपनी माँ के पास भागती है, तो उसका जिहादी पिता बेटी और उसकी माँ को मारने के लिए AK47 निकाल लेता है।"
https://www.factcrescendo.com/old-video-of-pm-modis-rally-where-he-is-raising-vote-for-india-slogan-viral-on-the-internet-2/amp/,MISSING CONTEXT,वोट फॉर इंडिया मोदी जी ने कहा है।
https://www.factcrescendo.com/has-muslim-country-saudi-arabia-got-a-gold-statue-of-pm-modi-made-and-installed/amp/,MISLEADING,लोगो की मोम से मुर्तिया बनती है लेकिन सउदी अरब मुस्लिम देश में मोदी की सोने की मूर्ति बनाकर लगवा दी। और यहां के देशद्रोही लोगों को मिर्ची लग रही है
https://www.factcrescendo.com/there-was-no-painting-of-mahabharata-on-the-wall-in-the-meeting-of-pm-modi-and-biden/amp/,MISLEADING,पीएम मोदी और बाइडेन की बैठक के दौरान दीवार पर महाभारत की पेंटिंग वाली तस्वीर
https://www.factcrescendo.com/old-video-of-pm-modis-rally-where-he-is-raising-vote-for-india-slogan-viral-on-the-internet/,MISSING CONTEXT,वोट फॉर इंडिया मोदी जी ने कहा है
https://www.factcrescendo.com/old-video-of-shoe-hurled-on-shivraj-singh-chauhan-shared-as-recent/amp/,MISSING CONTEXT,सीएम शिवराज सिंह चौहान जी पर जूते फेकना आम जनता में सरकार के प्रति गहरी नाराजगी बता रहा है। यह स्पष्ट है कि जुमलों की राजनीति का अब अंत निकट है
https://www.factcrescendo.com/video-showing-injected-vegetables-is-scripted/amp/,MISSING CONTEXT, ये वीडियो एक असली घटना का है जहाँ किसानों की तरफ से इंजेक्शन डालकर सब्जियों को उगाने की कोशिश की जा रही है।
https://www.factcrescendo.com/clipped-video-of-amit-shah-saying-manipur-issue-is-not-important-winning-election-is-viral/amp/,MISSING CONTEXT,"हमें मणिपुर की चिंता नहीं है, हमें चुनाव की चिंता है। हमें डेमोक्रेसी की चिंता नहीं है, हमें चुनाव की चिंता है। हमारी पार्टी के कोई सिद्धांत नहीं है। केवल और केवल चुनाव जीतने के लिये राजनीति में है"
https://www.factcrescendo.com/this-picture-of-the-crowd-watching-babar-azam-live-at-lal-chowk-is-edited-elsewhere-the-crowd-is-watching-live-streaming-of-chandrayaan-3-2/,MISLEADING,कश्मीर के लाल चौक में बड़ी स्क्रीन पर पाकिस्तान क्रिकेटर बाबर आजम को देखने के लिए जनता इकट्ठा हुई है।
https://www.factcrescendo.com/clipped-video-of-amit-shah-talking-about-rafale-scam-viral-with-a-false-claim/,MISSING CONTEXT,"राफेल घोटाला” हुआ – गृहमंत्री अमित शाह ने कहा। सत्य तो सत्य होता है, सरस्वती मां ने खुद कुबूल करा दिया!"
https://www.factcrescendo.com/the-wheel-marks-of-the-rover-shown-in-the-viral-post-are-not-original/amp/,MISSING CONTEXT,चंद्रयान-3 मिशन के दौरान रोवर के टायरों ने चंद्रमा की सतह पर भारत के राष्ट्रीय चिन्ह अशोक स्‍तंभ के निशान छोड़े हैं जो चंद्रमा की सतह पर स्थायी रूप से अंकित हो गई है
https://www.factcrescendo.com/scripted-video-showing-a-mobile-repair-shop-boy-hacking-girls-mobile-viral/amp/,MISSING CONTEXT,मोबाइल ठीक करने वाले की करतूत देखो। अपने सारे जान पहचान वाले ग्रुप में भेजो अपने परिवार के बच्चों को भी भेजो और बिल्कुल जान पहचान वाले की दुकान से फोन ठीक करवाओ
https://www.factcrescendo.com/video-showing-a-man-with-his-daughter-on-his-shoulder-shot-viral-with-a-communal-claim/,MISSING CONTEXT,जिहादी तारिक अली को उस फूल सी छोटी बच्ची का भी तरस नहीं आया। कंधे पर अपनी बेटी को ले जाते वक़्त उसके पापा की तारिक ने सर में गोली मारकर हत्या कर दी। घटना: उत्तर प्रदेश के शाहजहाँपुर की है
https://www.factcrescendo.com/scripted-video-showing-a-muslim-girl-sleeping-in-dirty-water-for-being-pregnant/amp/,MISSING CONTEXT, एक मुस्लिम महिला को एक पीर बाबा के कहने पर उसकी सास और पति ने गंदे पानी में लेटाया ताकि उसे बच्चा हो सके।
https://www.factcrescendo.com/video-showing-a-man-climbing-on-gyanvapi-mosque-viral-with-a-false-claim/,MISSING CONTEXT,अदालत के आदेश पर ज्ञानवापी का सर्वेक्षण चल रहा है। इस बीच ज्ञानवापी के गुंबद पर चढ़ता दिखा मुस्लिम शख्‍स
https://www.factcrescendo.com/clipped-video-claiming-salumbar-district-inaugurated-by-reciting-quran-viral-on-the-internet/,MISSING CONTEXT,अशोक गहलोत और उनकी सरकार पर तंज कसा जा रहा है कि मुस्लिम धर्म प्रार्थना कर उनके राज्य में एक जिले का उद्घाटन किया गया है।
https://www.factcrescendo.com/fake-tweet-attributed-to-kareena-kapoor-about-thrashing-people-spreading-hatred/amp/,MISSING CONTEXT,"मिट्टी नहीं, मिट्टी का ढेला हाथ में उठाना है।"
https://www.factcrescendo.com/video-showing-police-brutally-thrashing-a-criminal-is-scripted/amp/,MISSING CONTEXT,इन वाहशी पुलिस वालों पर सख्त कार्रवाई होनी चाहिए सरकार ने इतनी नफ़रत भर दी है कि लोग हैवानियत पर उतर आए हैं। मोदीसरकार की पुलिस है ये।
https://www.factcrescendo.com/president-draupadi-murmu-has-not-given-any-reply-in-the-case-of-seema-haiders-petition-a-video-viral-with-misleading-claims/,MISLEADING,राष्ट्रपति मुर्मू ने सीमा की याचिका का 48 घंटों के भीतर ही बेहद तगड़ा जवाब दिया है।
https://www.factcrescendo.com/images-from-2012-nirbhaya-protests-passed-off-as-manipur-violence/amp/,MISLEADING,णिपुर में कुकी महिलाओं के साथ क्रूर बलात्कार के विरोध में सैकड़ों भारतीय सड़कों पर उतर आए और सरकार से कार्रवाई की मांग की
https://www.factcrescendo.com/terrorist-attack-on-bastille-day-celebration-7-years-ago-linked-to-the-recent-riots-in-france/amp/,MISSING CONTEXT,यह वीडियो हाल ही में फ्रांस में हुये दंगों का है। 
https://www.factcrescendo.com/this-sadhu-trapped-in-sex-scandal-is-not-from-india-but-from-srilanka/amp/,MISLEADING,"हिन्दुत्व को मजबूत करता वाले कट्टर सनातनी बाबा, आसाराम  रामरहीम के बाद एक और बाबा मेंदान में , जुग जुग जियो बाबा"
https://www.factcrescendo.com/the-incident-of-molestation-of-a-woman-in-2021-bihar-is-being-shared-as-recent/amp/,MISLEADING,मणिपुर में महिलाओं के साथ हुए दुर्व्यवहार के बाद अब बिहार में भी महिलाओं के साथ इस तरह का बरताव शुरु हो गया है। 
https://www.factcrescendo.com/video-of-massive-landslides-passed-off-as-recent-in-himachal-pradesh/amp/,MISSING CONTEXT,वायरल यह वीडियो हिमाचल प्रदेश में हुई हाल की घटना से सम्बंधित है। 
https://www.factcrescendo.com/clipped-video-of-delhi-power-minister-announcing-that-there-will-be-no-free-electricity-in-delhi/amp/,MISSING CONTEXT,"लो भाई उतर गया बुखार, दिल्ली में मुफ्त बिजली बंद"
https://www.factcrescendo.com/scripted-video-showing-a-man-caught-while-smuggling-tomatoes-viral-on-the-internet/,MISSING CONTEXT,"टूटे पैर मे छिपाकर ले जा रहा था, दुनिया का सबसे मंहगा माल  – जो गरीब नहीं खरीद सकता।” "
https://www.factcrescendo.com/clipped-video-of-jp-nadda-saying-sanp-and-bicchu-to-pm-modi-viral-with-a-false-claim/amp/,MISSING CONTEXT,"अरे सुना क्या, जे.पी.नड्डा जी ने क्या वाकई में ऐसा कहा? ‘मोदी तुम नीच हो,मोदी तुम सांप हो, मोदी तुम बिच्छू हो, मोदी तुम अनपढ़ हो, मोदी तुम चाय वाला हो"
https://www.factcrescendo.com/old-video-of-nitish-kumar-appealing-people-to-vote-for-pm-modi-viral-as-recent/amp/,MISSING CONTEXT,कानपुर में बीजेपी समर्थकों द्वारा पुलिसकर्मी की पिटाई की गयी। 
https://www.factcrescendo.com/this-viral-video-of-policeman-being-thrashed-is-not-from-kanpu/amp/,MISLEADING,कानपुर में बीजेपी समर्थकों द्वारा पुलिसकर्मी की पिटाई की गयी। 
https://www.factcrescendo.com/video-of-a-bus-driver-reciting-namaz-while-passengers-waiting-out-passed-off-with-a-communal-claim/amp/,MISSING CONTEXT,भारत में एक मुस्लिम बस ड्राइवर बस में नमाज़ पढ़ रहा है और सारे यात्री धूप में उसका इंतज़ार कर रहे है। बस के दरवाज़े बंद है और उसके नमाज़ पढ़ने के बाद वे दरवाज़े खुलेंगे। 
https://www.factcrescendo.com/the-first-session-was-not-held-in-the-newly-constructed-parliament-house-the-viral-video-is-of-the-inauguration-of-the-parliament-house/,MISLEADING,यह वीडियो  नए संसद में आयोजित पहले  सत्र का है। और उसमें  सभी दलों के नेता मौजूद हैं। वहीं वीडियो में  प्रधानमंत्री नरेंद्र मोदी को भारतीय जनता पार्टी समेत अन्य दलों के सासंदों को अभिवादन करते हुए देखा जा सकता है।
https://www.factcrescendo.com/clipped-video-of-collector-office-inauguration-in-telangana-viral-with-communal-angle/,MISSING CONTEXT,तेलंगाना में कलेक्टर के दफ्तर का उद्घाटन कुरान पढ़कर किया जा रहा है
https://www.factcrescendo.com/false-news-about-people-disrespecting-national-anthem-viral-with-a-false-claim/,MISLEADING,यह सब कुछ राहुल गांधी सानिध्य में राष्ट्रगान का अपमान हो रहा है और कुल लोग राहुल गांधी में भावी प्रधानमंत्री नज़र आ रहे हैं।
https://www.factcrescendo.com/old-video-of-mukhtar-abbas-naqvi-talking-about-passenger-safety-in-railways-viral-as-recent/,MISSING CONTEXT,भाजपा नेता मुख्तार अब्बास नकवी अपनी ही सरकार से रेल यात्रियों की सुरक्षा के बारे में सवाल उठा रहे है।
https://www.factcrescendo.com/clipped-video-of-draupadi-murmu-linked-to-woman-wrestlers-protest/amp/,MISSING CONTEXT,द्रौपदी मुर्मू विरोध प्रदर्शन कर रही महिला पहलवानों को न्याय देने की बात कर रही है।
https://www.factcrescendo.com/old-video-of-d-k-shivkumar-tearing-textbook-viral-as-recent/,MISSING CONTEXT,कर्नाटक में पिछली भाजपा सरकार द्वारा स्कूल पाठ्यक्रम में वीर सावरकर के बारे में छपवाई किताब को डी.के शिवकुमार ने फाड़ दिया।
https://www.factcrescendo.com/video-showing-amul-lassi-packets-with-fungus-in-it-viral-with-a-misleading-claim/,MISLEADING,"अमूल की लस्सी के पांच पैकेट खरीदें और उसमें जो लस्सी थी, उसमें फफूंद आयी हुई है। "
https://www.factcrescendo.com/scripted-video-showing-a-hindu-man-marrying-his-own-sister-viral-on-the-internet/,MISSING CONTEXT,BhagwaLoveTrap अपनी ही बहन को बुर्का पहनाकर ये भगवाधारी भगवा लव ट्रेप को प्रमोट कर रहा है साथ ही अश्लील बाते कर रहा है और लव ट्रेप के तहत मिलने राशि की डिमांड लड़की से करवा रहा है।“ 
https://www.factcrescendo.com/siddaramaiahs-old-dance-video-viral-as-victory-dance-in-karnataka/amp/,MISSING CONTEXT,कर्नाटक चुनाव जितने के बाद कांग्रेस नेता सिद्धारमैया डांस कर रहे है
https://www.factcrescendo.com/did-congress-leader-digvijaya-singh-say-that-there-is-nothing-wrong-in-eating-beef/amp/,MISSING CONTEXT,"दिग्विजय सिंह कह रहे हैं कि बीफ खाने में कोई बुराई नहीं है। उन्होंने यह भी कहा कि गायें अपने मल में रहती हैं, इसलिए उन्हें माता नहीं कहा जा सकता।"
https://www.factcrescendo.com/video-of-a-muslim-man-talking-against-hindus-is-from-bangladesh/amp/,MISSING CONTEXT,यह भारत का वीडियो है। भारत में रहते हुये यह मुस्लिम शख्स हिंदुओं को इस तरह धमका रहे हैं।
https://www.factcrescendo.com/old-video-of-sidhu-moosewalas-last-ardaas-linked-to-recent-protests-at-jantar-mantar/amp/,MISSING CONTEXT,फर्ज़ी लोग किसान बनकर दिल्ली के जंतर मंतर में पहलवानों के समर्थन में जा रहे है। 
https://www.factcrescendo.com/clipped-video-shared-as-pm-modi-admitting-that-bjp-means-more-riots-and-violence/,MISSING CONTEXT,प्रधानमंत्री मोदी अपने ही पार्टी के बारें सच्चाई बताते हुए कह रहे है कि भाजपा का मतलब राज्य में दंगाई और गुंडई फैलाया है।
https://www.factcrescendo.com/video-from-2019-it-seizing-money-from-tyre-in-shivmogga-viral-as-karnataka-election/,MISLEADING,ये वीडियो कर्नाटक चुनाव के प्रचार के समय का है जहाँ टायर से नकदी बरबाद किये गये है
https://www.factcrescendo.com/video-shows-free-liquor-and-chicken-distributed-for-karnataka-elections/,MISSING CONTEXT,"कर्नाटक इलेक्शन कैम्पेन ,मेरा देश वैसा का वैसा ही है ,आज भी कोई बदलाव नही ,पहले भी 500 रुपये में वोट बिकतें थे आज भी यही हालत है"
https://www.factcrescendo.com/pm-is-not-talking-about-removing-evm-voting-system-in-this-video/,MISSING CONTEXT,वीडियो में प्रधानमंत्री नरेंद्र मोदी ईवीएम हटाने की बात कर रहे है। 
https://www.factcrescendo.com/old-videos-of-amit-shah-correcting-the-translator-linked-to-upcoming-karnataka-elections/,MISSING CONTEXT,हाल ही में होने वाले चुनाव प्रचार के दौरान अमित शाह उनके अनुवादकों पर गलत अनुवाद करने के लिये नाराज़ हो रहे है।
https://www.factcrescendo.com/clipped-video-of-amit-shah-calling-bjps-gov-the-most-corrupt-gov/amp/,MISSING CONTEXT,अमित शाह ने कर्नाटक की भाजपा सरकार को भ्रष्ट सरकार करार दिया था।
